siren,nom,naf,activite,adresse,code_postal,date_creation,dirigeant
109348755,BAHIR EL MRAKSI,56.10A,Restauration traditionnelle,15 PLACE VENDOME 75001 PARIS,75001,2026-08-29,BAHIR EL MRAKSI
108736679,"BDT & MSD PARTNERS INTERNATIONAL I, LTD",56.10A,Restauration traditionnelle,"5 CHURCHILL PLACE 10TH FLOOR 99  LONDON E14 5HU, ROYAUME-UNI",99,2026-08-28,AISLING BRIDGET MALONE
109221093,NATALIA LANDOWSKA,56.10A,Restauration traditionnelle,CHEZ DAUME-CARPUAT 15 RUE DES ECOLES 75005 PARIS,75005,2026-08-27,NATALIA WERONIKA LANDOWSKA
108291931,VALENTINE WUILLEMIER,56.10A,Restauration traditionnelle,1 RUE DU LOUVRE 75001 PARIS,75001,2026-08-26,VALENTINE WUILLEMIER
108292095,SIBYLLE BROSSEAU,56.10A,Restauration traditionnelle,WENGER - FRANCAIS 37 BOULEVARD BOURDON 75004 PARIS,75004,2026-08-26,SIBYLLE BROSSEAU
109166959,NOAME LE GALL BUOB,56.10A,Restauration traditionnelle,1 PLACE SAINT-GERVAIS 75004 PARIS,75004,2026-08-26,NOAME LE GALL BUOB
109267450,ANAELLE POITRAL,56.10A,Restauration traditionnelle,CABINET ROBERT JOORY 23 RUE DES FRANCS BOURGEOIS 75004 PARIS,75004,2026-08-26,ANAELLE POITRAL
108027277,AARON RELLE (AARON RELLE),56.10A,Restauration traditionnelle,CENTRE D'AFFAIRES DES AVOCATS DE PARIS 11 BOULEVARD DE SEBASTOPOL 75001 PARIS,75001,2026-08-25,AARON RELLÉ
109171165,BYR RENTAL,56.10A,Restauration traditionnelle,15 RUE DES HALLES 75001 PARIS,75001,2026-08-25,LUCA NICOLAS YOHANN BOYER
109189092,SALESMIND CONSEIL,56.10A,Restauration traditionnelle,15 RUE DU LOUVRE 75001 PARIS,75001,2026-08-25,JEAN-BENOÎT MARC NOUGARET
109128322,PIERRICK KAEMMERLEN,56.10A,Restauration traditionnelle,22 RUE DU PETIT MUSC 75004 PARIS,75004,2026-08-25,PIERRICK JOSEPH KAEMMERLEN
109226829,INSTYNK,56.10A,Restauration traditionnelle,30 BOULEVARD DE SEBASTOPOL 75004 PARIS,75004,2026-08-25,DAMIEN PIRES-CABRAL
109135400,CONCERT DES GRANDES ECOLES,56.10A,Restauration traditionnelle,MAISON DES MINES 270 RUE SAINT-JACQUES 75005 PARIS,75005,2026-08-25,
108929514,QLUVO,56.10A,Restauration traditionnelle,229 RUE SAINT-HONORE 75001 PARIS,75001,2026-08-24,MICHEL MAURICE SYLVAIN DERAMBURE
109091306,RDM AVOCATS,56.10A,Restauration traditionnelle,25 RUE COQUILLIERE 75001 PARIS,75001,2026-08-24,ROSINE DE MATOS MARTINS
109235358,FLAVIE TUIL,56.10A,Restauration traditionnelle,CECILIA DERVOGNE 1 RUE DU LOUVRE 75001 PARIS,75001,2026-08-24,FLAVIE TUIL
109096511,ASIA POP,56.10A,Restauration traditionnelle,47 RUE VIVIENNE 75002 PARIS,75002,2026-08-24,CHRISTOPHER ERIC JEAN-JACQUES BEAURAIN
109114876,ITHAQUE,56.10A,Restauration traditionnelle,30 BOULEVARD DE SEBASTOPOL 75004 PARIS,75004,2026-08-24,MARIE-PÉNÉLOPE COHEN (LINAGE)
108068859,INDIVISION GABEUR BRUGALIERES,56.10A,Restauration traditionnelle,46 RUE DE LA CLEF 75005 PARIS,75005,2026-08-24,"JULIA BRUGALIERES, ADRIEN GABEUR"
109001628,COCON CITADIN,56.10A,Restauration traditionnelle,142 RUE DE RIVOLI 75001 PARIS,75001,2026-08-21,"CÉLIA MOUISSON-VIAL (MOUISSON), LAURENT CHRISTIAN MARIE VIAL"
109107136,LE SAINT-JACQUES,56.10A,Restauration traditionnelle,27 RUE SAINT-JACQUES 75005 PARIS,75005,2026-08-21,MOHAMED KAMEL BELKECIR
109013037,XRCAPITAL,56.10A,Restauration traditionnelle,231 RUE SAINT-HONORE 75001 PARIS,75001,2026-08-20,XAVIER FRÉDÉRIC JACQUES ROUSSELLE
108971219,RADIA TEKFI,56.10A,Restauration traditionnelle,30 BOULEVARD DE SEBASTOPOL 75004 PARIS,75004,2026-08-20,RADIA TEKFI
108979246,THEO MILLOT,56.10A,Restauration traditionnelle,CHEZ YAYA BOITE 1106 ARCAT LE REPERE 36 RUE GEOFFROY L'ASNIER 75004 PARIS,75004,2026-08-20,THEO CHARLES ARTHUR MILLOT
109086017,1852 CAPITAL,56.10A,Restauration traditionnelle,22 RUE DES ECOUFFES 75004 PARIS,75004,2026-08-20,MATHIEU LEFEUVRE
108982174,ASJI,56.10A,Restauration traditionnelle,67 RUE SAINT-JACQUES 75005 PARIS,75005,2026-08-20,AXEL JIN
