siren,nom,naf,activite,adresse,code_postal,date_creation,dirigeant
107593188,JOSEPHINE BEYLOUNI,56.10A,Restauration traditionnelle,1 RUE ANDRE COLLEDEBOEUF 75016 PARIS,75016,2026-09-10,JOSÉPHINE ROSE BEYLOUNI
130167489,KARL,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),20 RUE JEAN MERMOZ 75008 PARIS,75008,2026-09-10,
109827204,CHEZ SIMONE,56.10A,Restauration traditionnelle,22 AVENUE FELIX FAURE 75015 PARIS,75015,2026-09-09,
109959700,NINO MESANGE,56.10A,Restauration traditionnelle,136 BOULEVARD VINCENT AURIOL 75013 PARIS,75013,2026-09-08,NINO PHILIPPE PATRICE MÉSANGE
130101397,SAS 37 MURAT,56.10A,Restauration traditionnelle,37 BOULEVARD MURAT 75016 PARIS,75016,2026-09-08,
109880492,LORETTE DELION,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),23 AVENUE PHILIPPE-AUGUSTE 75011 PARIS,75011,2026-09-08,LORETTE DELION
109783449,QLT,56.10A,Restauration traditionnelle,7 RUE RENE BOULANGER 75010 PARIS,75010,2026-09-07,
109582429,NADIR BENMERATIA,56.10A,Restauration traditionnelle,29 RUE TRAVERSIERE 75012 PARIS,75012,2026-09-07,NADIR BENMERATIA
108582263,TOUTA NOUADRI (VENTE ET SERVICE),10.71C,Boulangerie-pâtisserie,69 RUE CASTAGNARY 75015 PARIS,75015,2026-09-07,TOUTA NOUADRI
109683755,VIE NOUVELLE,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),162 RUE MONTMARTRE 75002 PARIS,75002,2026-09-04,XIN GUO
130204811,MAMA CHERRY,56.10A,Restauration traditionnelle,17 BOULEVARD DE MAGENTA 75010 PARIS,75010,2026-09-03,
109556449,L ATLIER96,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),47 RUE VIVIENNE 75002 PARIS,75002,2026-09-03,
108838483,TM-POULET,56.10A,Restauration traditionnelle,146 RUE DU FAUBOURG SAINT-ANTOINE 75012 PARIS,75012,2026-09-02,MOHAMMAD SULEIMAN TARAKHEL
130047830,MAISON SOLENE,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),33 RUE GAY-LUSSAC 75005 PARIS,75005,2026-09-02,
109754747,PINKY SWEETS,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),186 RUE DE LA CONVENTION 75015 PARIS,75015,2026-09-02,"RANIA JOUINI, SALIM BACHIR SADALLAH"
108283383,FLORE DE GRENELLE,56.10A,Restauration traditionnelle,201 RUE DE GRENELLE 75007 PARIS,75007,2026-09-01,JASON FELIX GASSON
108965187,SALON ZH (MORELLI LOUNGE),56.10A,Restauration traditionnelle,MORELLI 29 BOULEVARD DE REUILLY 75012 PARIS,75012,2026-09-01,HSOUNA ZITOUNI
109771246,SNACK CORNER,56.10A,Restauration traditionnelle,92 RUE MSTISLAV ROSTROPOVITCH 75017 PARIS,75017,2026-09-01,
108244260,RAXA (CROUSTI KING),56.10A,Restauration traditionnelle,159 RUE DE BELLEVILLE 75019 PARIS,75019,2026-09-01,"DIYA MAISURIA, RAKESH KUMAR JAYANTIBHAI MAISURIA"
108220625,POULET DU MONDE,56.10A,Restauration traditionnelle,4 RUE ETIENNE DOLET 75020 PARIS,75020,2026-09-01,"SHANKAR BARUA, SUPAN BARUA"
108688086,BLASE,56.10A,Restauration traditionnelle,95 RUE JULIEN LACROIX 75020 PARIS,75020,2026-09-01,MAXIME ARMAND
108900960,MAISON VIET AN,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),108 RUE D'ABOUKIR 75002 PARIS,75002,2026-09-01,OCÉANE TÔ QUYÊN HUYNH
108850579,VLESNIE PARIS 5 (BAVOLA),56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),46 RUE PIERRE NICOLE 75005 PARIS,75005,2026-09-01,
109863605,GLOBAL FOOD,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),24 RUE GODEFROY CAVAIGNAC 75011 PARIS,75011,2026-09-01,SAIFEDDINE ABDELJALIL
108989450,DIWAN CAMBRONNE,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),89 RUE CAMBRONNE 75015 PARIS,75015,2026-09-01,
109125328,LEFEUMAO,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),75 RUE DE LOURMEL 75015 PARIS,75015,2026-09-01,JIE MAO
108935826,TALLIA,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),73 RUE DE LA CROIX NIVERT 75015 PARIS,75015,2026-09-01,LEILA EL ÂM
109517664,ONIGIRI PASSY (ONIGIRI BAR),56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),53 RUE DE PASSY 75016 PARIS,75016,2026-09-01,
109566679,EL BARRIO,56.30Z,"Débits de boissons (coffee shops, bars à café)",21 RUE DE LAPPE 75011 PARIS,75011,2026-09-01,SOFIANE KESSAL
108559733,LUIGI RUBINI (RUBINI),56.30Z,"Débits de boissons (coffee shops, bars à café)",30 RUE RIQUET 75019 PARIS,75019,2026-09-01,LUIGI LUDI RUBINI (RUBINI)
108616681,BLE BLE,10.71C,Boulangerie-pâtisserie,114 RUE DE PATAY 75013 PARIS,75013,2026-09-01,
109393264,LOUNA PARIS,56.30Z,"Débits de boissons (coffee shops, bars à café)",38 RUE DU VERTBOIS 75003 PARIS,75003,2026-08-31,ONURCAN DAMA
109288837,BANH  MI PHO,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),56 RUE HENRI BARBUSSE 75005 PARIS,75005,2026-08-30,PHUNG LOAN NGUYEN (HA)
109302638,STEFANIA GUIDO,56.10A,Restauration traditionnelle,19 RUE VIALA 75015 PARIS,75015,2026-08-29,STEFANIA GUIDO
130101314,BADIS ARFAOUI,56.10A,Restauration traditionnelle,173 RUE DE COURCELLES 75017 PARIS,75017,2026-08-28,
109672881,TERRAH POISSONNIERE,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),20 BOULEVARD POISSONNIERE 75009 PARIS,75009,2026-08-28,
109541052,HORLOGE,56.10A,Restauration traditionnelle,87 QUAI D'AUSTERLITZ 75013 PARIS,75013,2026-08-27,
109226407,LE CREOLE LA REUNION LE LA,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),47 RUE VIVIENNE 75002 PARIS,75002,2026-08-26,
109188656,IL CAPO (IL CAPO),56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),14 RUE BOBILLOT 75013 PARIS,75013,2026-08-26,JOËL PIERRE MARIE KOUAME
109126243,BOUBOU SYLLA,56.10A,Restauration traditionnelle,80 RUE DE PASSY 75016 PARIS,75016,2026-08-25,BOUBOU SYLLA
109166058,JUNK BOCCADOR,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),20 RUE DU BOCCADOR 75008 PARIS,75008,2026-08-25,
109094862,KREOLYS,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),47 RUE VIVIENNE 75002 PARIS,75002,2026-08-24,"LAURA MARIE BOYER, LAURENT OLIVIER RIVIERE"
